ayúdame,Saludo
quiubo Max,Saludo
saludos,Saludo
ALOH,Saludo
holi,Saludo
Hola,Saludo
Empezar,Saludo
Tengo un problema,Saludo
¿Qué pasó?,Saludo
Otra consulta,Saludo
Nueva consulta,Saludo
Aceptar,Saludo
Me puedes habalar sobre temas de confidencialidad en el trabajo,Temas_de_confidecialidad
Privacidad,Temas_de_confidecialidad
Confidencialidad en el trabajo,Temas_de_confidecialidad
quiero chambear con max,Trabajar
Quiero colaborar con ustedes,Trabajar
Como le hago para trabajar con ustedes,Trabajar
Quiero trabajar con Fractal Abogados,Trabajar
Servicio Social,Trabajar
Como puedo liberar mi servicio social con ustedes,Trabajar
Me gustaría hacer mi servicio social con ustedes,Trabajar
joder coño,Trolleo
saca las caguamas,Trolleo
me amas,Trolleo
Tienes packs,Trolleo
sexo,Trolleo
ella me ama,Trolleo
feo,Trolleo
te amo,Trolleo
pasa el pack,Trolleo
más de una,Mas_de_una_persona
más de una persona,Mas_de_una_persona
dos o más,Mas_de_una_persona
tres o más,Mas_de_una_persona
2,Mas_de_una_persona
3,Mas_de_una_persona
una,Una_persona
1,Una_persona
tengo dudas,Tener_duda
me surgió una duda,Tener_duda
no me queda claro,Tener_duda
tengo algunas dudas,Tener_duda
por empresa,Trabajar_empresa
empresa,Trabajar_empresa
outsourcing,Trabajar_outsourcing
es outsourcing,Trabajar_outsourcing
divorcio,divorcio
me quiero divorciar,divorcio
pensión alimenticia,pension-alimenticia
guarda y custodia,guarda-custodia
rectificación de nombre,rectificacion-nombre
otro tema que no sé,tema-desconocido
quiero hablar de otro tema,tema-desconocido
